SalTime,VoucherTypeName,VchNo,Date,EffectiveDate,Narration,StateBuyer,Cancel,Refund,CustomerName,MailingName,CustomerWebID,CustomerTallyID,BillingAddress,ConsigneeName,ShippingAddress,BillingPinCode,ShippingPinCode,BillingPhoneNo,ShippingPhoneNo,TotalAmount,SalesTallyID,WebID,Action,BillingState,BillingCountry,ShippingState,ShippingCountry,Ledgerdetails,StockItem,DebitorCredit,BilledQty,AcutalQty,Rate,Discount,Amount,AccountingAllocations,BatchName,GodownName,BatchBilledQty,BatchActualQty,BatchRate,BatchDiscount,Agent,CostCentreName
NULL,Purchase Order,PO/AP/16/25-26,1-Apr-25,1-Apr-25,Being Material Delivery At COC - Tirupathi,NULL,NULL,REFUNDED,K.Sudhakar Naidu (URD),K.Sudhakar Naidu (URD),NULL,NULL,Tirupathi,"R.R.Thulasi Builders (I) Pvt Ltd.,","No. 12-64-2A, Swamy Street Extention, Puttur, Chittoor Dist - 517583., E-Mail : rrthulasi@gmail.com",NULL,517583,NULL,NULL,124040.0,363,NULL,NULL,Andhra Pradesh,India,Andhra Pradesh,India,"[{'Ledgername': 'K.Sudhakar Naidu (URD)', 'DebitorCredit': 'CR', 'Amount': 124040.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 124040.0}]}]",20mm Metal - CFT,DR,3544.00 CFT,3544.00 CFT,35.00/CFT,0,-124040.0,"[{'LedgerName': 'Blue Metal', 'Amount': -124040.0}]",Primary Batch,COC-Tirupati,3544.00 CFT,3544.00 CFT,35.00/CFT,0,,
NULL,Purchase Order,PO/AP/17/25-26,1-Apr-25,1-Apr-25,Being Work At COC Tirupathi,NULL,NULL,REFUNDED,PSG  Earth  Movers,PSG  Earth  Movers,NULL,NULL,"No.12-53, Oteru Road, Tirumala Nagar,, Tirupathi - 517503","R.R.Thulasi Builders (I) Pvt Ltd.,","No. 12-64-2A, Swamy Street Extention, Puttur, Chittoor Dist - 517583., E-Mail : rrthulasi@gmail.com",517503,517583,NULL,NULL,23000.0,364,NULL,NULL,Andhra Pradesh,India,Andhra Pradesh,India,"[{'Ledgername': 'PSG  Earth  Movers', 'DebitorCredit': 'CR', 'Amount': 23000.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 23000.0}]}]",Jcb Hours,DR,23.00 hr,23.00 hr,1000.00/hr,0,-23000.0,"[{'LedgerName': 'JCB Rent', 'Amount': -23000.0}]",Primary Batch,COC-Tirupati,23.00 hr,23.00 hr,1000.00/hr,0,COC Tirupati,COC Tirupati
NULL,Purchase Order,PO/AP/18/25-26,1-Apr-25,1-Apr-25,Being Material Delivery At COC Tirupathi,NULL,NULL,REFUNDED,S.B.S.Bricks,,NULL,NULL,"S.No : 250, Pudipatla Revenue Village, Perumallpalli, Tirupati Dist – 517505.","R.R.Thulasi Builders (I) Pvt Ltd.,","No. 12-64-2A, Swamy Street Extention, Puttur, Chittoor Dist - 517583., E-Mail : rrthulasi@gmail.com",517505,517583,NULL,NULL,751600.0,365,NULL,NULL,Andhra Pradesh,India,Andhra Pradesh,India,"[{'Ledgername': 'S.B.S.Bricks', 'DebitorCredit': 'CR', 'Amount': 751600.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 751600.0}]}]",Bricks - Nos,DR,93950.00 Nos,93950.00 Nos,8.00/Nos,0,-751600.0,"[{'LedgerName': 'Bricks', 'Amount': -751600.0}]",Primary Batch,COC-Tirupati,93950.00 Nos,93950.00 Nos,8.00/Nos,0,COC Tirupati,COC Tirupati
NULL,Purchase Order,PO/AP/34/25-26,1-Apr-25,1-Apr-25,Being Material delivery to Multi lever car parking at Tirupati.,NULL,NULL,REFUNDED,Sri Devi Traders (N),Sri Devi Traders (N),NULL,NULL,"52/1, Muthusamy Street,, Erode -638001, 98654 50666, Sridevitraders777@gmail.Com","R.R.Thulasi Builders ( I ) Pvt Ltd.,","R.R.Thulasi Builders ( I ) Pvt Ltd.,, C/o. Construction Of Multi Level Car Parking,, Opp Railway Station Parcel Office, Near Vishnu Nivasam - Tirupathi - 517501, Cell.73068 77741",638001,517501,NULL,NULL,8324.0,704,NULL,NULL,Tamil Nadu,India,Andhra Pradesh,India,"[{'Ledgername': 'Sri Devi Traders (N)', 'DebitorCredit': 'CR', 'Amount': 8324.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 8324.0}]}, {'Ledgername': 'Input - IGST', 'DebitorCredit': 'DR', 'Amount': 1269.82}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.38}]","Self Adhesive Tape 3"" (Brown)",DR,216.00 Nos,216.00 Nos,32.66/Nos,0,-7054.56,"[{'LedgerName': 'Consumables', 'Amount': -7054.56}]",Primary Batch,MLCP-Tirupati,216.00 Nos,216.00 Nos,32.66/Nos,0,MLCP Tirupati,MLCP Tirupati
NULL,Purchase Order,PO/AP/35/25-26,1-Apr-25,1-Apr-25,Being Material delivery to Multi lever car parking at Tirupati.,NULL,NULL,REFUNDED,Sri Auro Raam Fire And Safety Equipments  (N),Sri Auro Raam Fire And Safety Equipments  (N),NULL,NULL,"9/2, Akilmedu 6th Cross Street,, Erode - 638001, 9092211100, Sriauroraam@gmail.Com","R.R.Thulasi Builders ( I ) Pvt Ltd.,","R.R.Thulasi Builders ( I ) Pvt Ltd.,, C/o. Construction Of Multi Level Car Parking,, Opp Railway Station Parcel Office, Near Vishnu Nivasam - Tirupathi - 517501, Cell.73068 77741",638001,517501,NULL,NULL,6334.0,705,NULL,NULL,Tamil Nadu,India,Andhra Pradesh,India,"[{'Ledgername': 'Sri Auro Raam Fire And Safety Equipments  (N)', 'DebitorCredit': 'CR', 'Amount': 6334.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 6334.0}]}, {'Ledgername': 'Input - IGST', 'DebitorCredit': 'DR', 'Amount': 883.5}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.5}]","Barricading Tape 3""",DR,3.00 Roll,3.00 Roll,400.00/Roll,0,-1200.0,"[{'LedgerName': 'Safety Materials', 'Amount': -1200.0}]",Primary Batch,MLCP-Tirupati,3.00 Roll,3.00 Roll,400.00/Roll,0,MLCP Tirupati,MLCP Tirupati
NULL,Purchase Order,PO/AP/35/25-26,1-Apr-25,1-Apr-25,Being Material delivery to Multi lever car parking at Tirupati.,NULL,NULL,REFUNDED,Sri Auro Raam Fire And Safety Equipments  (N),Sri Auro Raam Fire And Safety Equipments  (N),NULL,NULL,"9/2, Akilmedu 6th Cross Street,, Erode - 638001, 9092211100, Sriauroraam@gmail.Com","R.R.Thulasi Builders ( I ) Pvt Ltd.,","R.R.Thulasi Builders ( I ) Pvt Ltd.,, C/o. Construction Of Multi Level Car Parking,, Opp Railway Station Parcel Office, Near Vishnu Nivasam - Tirupathi - 517501, Cell.73068 77741",638001,517501,NULL,NULL,6334.0,705,NULL,NULL,Tamil Nadu,India,Andhra Pradesh,India,"[{'Ledgername': 'Sri Auro Raam Fire And Safety Equipments  (N)', 'DebitorCredit': 'CR', 'Amount': 6334.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 6334.0}]}, {'Ledgername': 'Input - IGST', 'DebitorCredit': 'DR', 'Amount': 883.5}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.5}]","Hand Gloves Cotton 12""",DR,50.00 Nos,50.00 Nos,15.00/Nos,0,-750.0,"[{'LedgerName': 'Safety Materials', 'Amount': -750.0}]",Primary Batch,MLCP-Tirupati,50.00 Nos,50.00 Nos,15.00/Nos,0,MLCP Tirupati,MLCP Tirupati
NULL,Purchase Order,PO/AP/35/25-26,1-Apr-25,1-Apr-25,Being Material delivery to Multi lever car parking at Tirupati.,NULL,NULL,REFUNDED,Sri Auro Raam Fire And Safety Equipments  (N),Sri Auro Raam Fire And Safety Equipments  (N),NULL,NULL,"9/2, Akilmedu 6th Cross Street,, Erode - 638001, 9092211100, Sriauroraam@gmail.Com","R.R.Thulasi Builders ( I ) Pvt Ltd.,","R.R.Thulasi Builders ( I ) Pvt Ltd.,, C/o. Construction Of Multi Level Car Parking,, Opp Railway Station Parcel Office, Near Vishnu Nivasam - Tirupathi - 517501, Cell.73068 77741",638001,517501,NULL,NULL,6334.0,705,NULL,NULL,Tamil Nadu,India,Andhra Pradesh,India,"[{'Ledgername': 'Sri Auro Raam Fire And Safety Equipments  (N)', 'DebitorCredit': 'CR', 'Amount': 6334.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 6334.0}]}, {'Ledgername': 'Input - IGST', 'DebitorCredit': 'DR', 'Amount': 883.5}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.5}]","Hand Gloves (Rubber) 12""",DR,50.00 Set,50.00 Set,70.00/Set,0,-3500.0,"[{'LedgerName': 'Safety Materials', 'Amount': -3500.0}]",Primary Batch,MLCP-Tirupati,50.00 Set,50.00 Set,70.00/Set,0,MLCP Tirupati,MLCP Tirupati
NULL,Purchase Order,PO/AP/36/25-26,1-Apr-25,1-Apr-25,Being Material delivery to Multi lever car parking at Tirupati.,NULL,NULL,REFUNDED,Erode Sri Gururagavendra Steel Agencies (MSME),,NULL,NULL,"61 - Muthusamy Street, RR Lodge Behind,, Erode - 638001, Ph-99441 21303,95005 91303, Mail:Gururagavendra1996@gmail.Com","R.R.Thulasi Builders ( I ) Pvt Ltd.,","R.R.Thulasi Builders ( I ) Pvt Ltd.,, C/o. Construction Of Multi Level Car Parking,, Opp Railway Station Parcel Office, Near Vishnu Nivasam - Tirupathi - 517501, Cell.73068 77741",638001,517501,NULL,NULL,29100.0,707,NULL,NULL,Tamil Nadu,India,Andhra Pradesh,India,"[{'Ledgername': 'Erode Sri Gururagavendra Steel Agencies (MSME)', 'DebitorCredit': 'CR', 'Amount': 29100.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 29100.0}]}, {'Ledgername': 'Input - IGST', 'DebitorCredit': 'DR', 'Amount': 4438.98}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.02}]","MS Nail 2½""",DR,100.000 Kgs,100.000 Kgs,56.78/Kgs,0,-5678.0,"[{'LedgerName': 'Hardwares', 'Amount': -5678.0}]",Primary Batch,MLCP-Tirupati,100.000 Kgs,100.000 Kgs,56.78/Kgs,0,MLCP Tirupati,MLCP Tirupati
NULL,Purchase Order,PO/AP/36/25-26,1-Apr-25,1-Apr-25,Being Material delivery to Multi lever car parking at Tirupati.,NULL,NULL,REFUNDED,Erode Sri Gururagavendra Steel Agencies (MSME),,NULL,NULL,"61 - Muthusamy Street, RR Lodge Behind,, Erode - 638001, Ph-99441 21303,95005 91303, Mail:Gururagavendra1996@gmail.Com","R.R.Thulasi Builders ( I ) Pvt Ltd.,","R.R.Thulasi Builders ( I ) Pvt Ltd.,, C/o. Construction Of Multi Level Car Parking,, Opp Railway Station Parcel Office, Near Vishnu Nivasam - Tirupathi - 517501, Cell.73068 77741",638001,517501,NULL,NULL,29100.0,707,NULL,NULL,Tamil Nadu,India,Andhra Pradesh,India,"[{'Ledgername': 'Erode Sri Gururagavendra Steel Agencies (MSME)', 'DebitorCredit': 'CR', 'Amount': 29100.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 29100.0}]}, {'Ledgername': 'Input - IGST', 'DebitorCredit': 'DR', 'Amount': 4438.98}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.02}]",Concrete Cover Block (Multi Purpose),DR,100.00 Box,100.00 Box,76.27/Box,0,-7627.0,"[{'LedgerName': 'Hardwares', 'Amount': -7627.0}]",Primary Batch,MLCP-Tirupati,100.00 Box,100.00 Box,76.27/Box,0,MLCP Tirupati,MLCP Tirupati
NULL,Purchase Order,PO/AP/36/25-26,1-Apr-25,1-Apr-25,Being Material delivery to Multi lever car parking at Tirupati.,NULL,NULL,REFUNDED,Erode Sri Gururagavendra Steel Agencies (MSME),,NULL,NULL,"61 - Muthusamy Street, RR Lodge Behind,, Erode - 638001, Ph-99441 21303,95005 91303, Mail:Gururagavendra1996@gmail.Com","R.R.Thulasi Builders ( I ) Pvt Ltd.,","R.R.Thulasi Builders ( I ) Pvt Ltd.,, C/o. Construction Of Multi Level Car Parking,, Opp Railway Station Parcel Office, Near Vishnu Nivasam - Tirupathi - 517501, Cell.73068 77741",638001,517501,NULL,NULL,29100.0,707,NULL,NULL,Tamil Nadu,India,Andhra Pradesh,India,"[{'Ledgername': 'Erode Sri Gururagavendra Steel Agencies (MSME)', 'DebitorCredit': 'CR', 'Amount': 29100.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 29100.0}]}, {'Ledgername': 'Input - IGST', 'DebitorCredit': 'DR', 'Amount': 4438.98}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.02}]","MS Nail 3""",DR,100.000 Kgs,100.000 Kgs,56.78/Kgs,0,-5678.0,"[{'LedgerName': 'Hardwares', 'Amount': -5678.0}]",Primary Batch,MLCP-Tirupati,100.000 Kgs,100.000 Kgs,56.78/Kgs,0,MLCP Tirupati,MLCP Tirupati
NULL,Purchase Order,PO/AP/36/25-26,1-Apr-25,1-Apr-25,Being Material delivery to Multi lever car parking at Tirupati.,NULL,NULL,REFUNDED,Erode Sri Gururagavendra Steel Agencies (MSME),,NULL,NULL,"61 - Muthusamy Street, RR Lodge Behind,, Erode - 638001, Ph-99441 21303,95005 91303, Mail:Gururagavendra1996@gmail.Com","R.R.Thulasi Builders ( I ) Pvt Ltd.,","R.R.Thulasi Builders ( I ) Pvt Ltd.,, C/o. Construction Of Multi Level Car Parking,, Opp Railway Station Parcel Office, Near Vishnu Nivasam - Tirupathi - 517501, Cell.73068 77741",638001,517501,NULL,NULL,29100.0,707,NULL,NULL,Tamil Nadu,India,Andhra Pradesh,India,"[{'Ledgername': 'Erode Sri Gururagavendra Steel Agencies (MSME)', 'DebitorCredit': 'CR', 'Amount': 29100.0, 'BillWiseDetails': [{'BillType': 'On Account', 'BillAmount': 29100.0}]}, {'Ledgername': 'Input - IGST', 'DebitorCredit': 'DR', 'Amount': 4438.98}, {'Ledgername': 'Round Off', 'DebitorCredit': 'DR', 'Amount': 0.02}]","MS Nail 4""",DR,100.000 Kgs,100.000 Kgs,56.78/Kgs,0,-5678.0,"[{'LedgerName': 'Hardwares', 'Amount': -5678.0}]",Primary Batch,MLCP-Tirupati,100.000 Kgs,100.000 Kgs,56.78/Kgs,0,MLCP Tirupati,MLCP Tirupati
